rank,spectrum,map,pixel,X_um,Y_um,map_file,r_s4,r_s5,r_s8,r_s9,r_s10,r_meanCaF2,dr_meanCaF2,r_best_single_ref,best_single_ref,r_avg_over_refs,band_cos_meanCaF2,score
1,m2_px16,m2,16,15.078,-0.0,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7905,0.8108,0.7905,0.6644,0.6706,0.7566,0.3471,0.8108,s5,0.7454,0.2112,0.5928
2,m5_px09,m5,9,7.421,4.483,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7579,0.7651,0.748,0.5907,0.5982,0.7014,0.3008,0.7651,s5,0.692,0.4758,0.5412
3,m4_px05,m4,5,3.671,4.483,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7153,0.7159,0.6891,0.5377,0.5389,0.6471,0.2942,0.7159,s5,0.6394,0.3994,0.5059
4,m2_px10,m2,10,7.579,9.281,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7282,0.7237,0.7082,0.5346,0.5408,0.6546,0.263,0.7282,s4,0.6471,0.4488,0.498
5,m5_px16,m5,16,14.922,-0.157,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7188,0.7127,0.6967,0.5304,0.54,0.6467,0.235,0.7188,s4,0.6397,0.4954,0.482
6,m5_px12,m5,12,11.172,-0.157,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.693,0.6934,0.6715,0.5089,0.5089,0.6224,0.2589,0.6934,s5,0.6152,0.3326,0.477
7,m5_px11,m5,11,7.421,13.764,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7175,0.7151,0.7044,0.5414,0.544,0.6524,0.2089,0.7175,s4,0.6445,0.4531,0.475
8,m4_px08,m4,8,7.421,-0.157,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7316,0.7354,0.7204,0.5703,0.5744,0.6748,0.1753,0.7354,s5,0.6664,0.3244,0.475
9,m3_px15,m3,15,11.172,13.764,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7207,0.7172,0.703,0.5442,0.5537,0.6553,0.2021,0.7207,s4,0.6478,0.5235,0.474
10,m1_px12,m1,12,11.25,0.079,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7144,0.7173,0.7035,0.5507,0.5566,0.656,0.1999,0.7173,s5,0.6485,0.4942,0.4735
11,m3_px09,m3,9,7.421,4.483,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7082,0.7062,0.6833,0.5167,0.5214,0.6341,0.222,0.7082,s4,0.6272,0.3288,0.4692
12,m3_px04,m3,4,3.671,-0.157,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7022,0.6938,0.6779,0.5176,0.5288,0.6311,0.2257,0.7022,s4,0.6241,0.5915,0.4689
13,m2_px11,m2,11,7.579,13.922,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.6994,0.6863,0.6744,0.5024,0.5115,0.6211,0.235,0.6994,s4,0.6148,0.4578,0.4666
14,m1_px13,m1,13,11.25,4.719,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.6869,0.6814,0.6719,0.5269,0.533,0.6261,0.2241,0.6869,s4,0.62,0.5341,0.4653
15,m2_px19,m2,19,15.078,13.922,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7031,0.7017,0.6842,0.5342,0.5374,0.6387,0.2045,0.7031,s4,0.6321,0.5357,0.465
16,m3_px19,m3,19,14.922,13.764,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.6994,0.7033,0.6834,0.5308,0.5394,0.6378,0.2055,0.7033,s5,0.6313,0.3871,0.4648
17,m2_px08,m2,8,7.579,-0.0,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.6911,0.6909,0.6754,0.526,0.5287,0.6286,0.2164,0.6911,s4,0.6224,0.5108,0.4637
18,m4_px18,m4,18,14.922,9.124,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7156,0.7185,0.7009,0.5572,0.5628,0.6588,0.1703,0.7185,s5,0.651,0.3566,0.4634
19,m4_px10,m4,10,7.421,9.124,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.706,0.7033,0.6843,0.5218,0.5303,0.6358,0.2045,0.706,s4,0.6292,0.4882,0.4633
20,m1_px04,m1,4,3.75,0.079,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.71,0.7046,0.6852,0.5176,0.5275,0.6358,0.2021,0.71,s4,0.629,0.3481,0.4623
21,m3_px10,m3,10,7.421,9.124,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.6636,0.663,0.6559,0.5349,0.5378,0.6177,0.2265,0.6636,s4,0.611,0.3949,0.4612
22,m3_px00,m3,0,-0.079,-0.157,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7066,0.7,0.6741,0.4951,0.5042,0.6227,0.2122,0.7066,s4,0.616,0.4087,0.4585
23,m5_px03,m5,3,-0.079,13.764,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.6985,0.6901,0.6744,0.5116,0.5198,0.6251,0.2074,0.6985,s4,0.6189,0.4811,0.458
