map,pixel,X_um,Y_um,file,consensus_r,EV_bands_detected,EV_band_SNR_mean,score,SNR Phe ring breathing,SNR Phe / C-H in-plane,SNR PO2- / C-C lipid,SNR C-N / C-C stretch,SNR Amide III,SNR CH2 twist (lipid),SNR CH2/CH3 deformation,SNR Amide I / C=C,SNR CH2 sym stretch (lipid),SNR CH2 asym stretch,SNR CH3 stretch (protein)
m4,12,11.1715,-0.157081,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8733693230382731,11,30.03,0.8366666666666666,53.0,8.4,10.9,31.7,102.0,16.8,22.7,30.3,6.8,6.1,41.6
m5,16,14.9215,-0.157081,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8562278695068485,11,34.09,0.7966666666666667,75.2,18.4,10.3,69.8,75.1,13.9,16.5,21.5,12.3,14.5,47.5
m2,14,11.3285,9.28097,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8573534922206534,11,29.59,0.7533333333333333,59.1,13.8,9.5,28.9,104.7,24.8,7.4,30.0,5.5,5.6,36.2
m2,10,7.57854,9.28097,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8539915028931246,11,29.78,0.7466666666666667,65.3,13.6,15.8,30.6,50.5,24.1,31.9,28.9,6.3,6.3,54.3
m5,1,-0.0785405,4.48341,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8505786907401695,11,30.24,0.7399999999999999,63.3,11.4,7.8,69.3,71.7,12.2,14.2,27.4,6.7,8.7,39.8
m2,11,7.57854,13.9215,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8688485202479003,11,26.08,0.7333333333333334,58.4,9.3,13.7,20.6,68.6,28.4,8.0,24.4,5.0,9.3,41.3
m2,13,11.3285,4.64049,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8674242251173591,11,26.47,0.7333333333333334,44.9,11.9,10.4,44.3,60.3,21.6,9.1,38.3,5.1,10.0,35.2
m3,3,-0.0785405,13.7644,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8326213041619949,11,46.36,0.7266666666666666,77.9,24.9,21.4,44.9,225.4,16.4,12.4,29.2,6.2,11.0,40.4
m5,2,-0.0785405,9.12389,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8696774914981389,10,31.69,0.7133333333333334,66.2,24.6,1.5,97.1,53.6,12.3,19.2,24.8,5.9,6.0,37.2
m2,8,7.57854,-2.78043e-07,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8516945022059471,11,28.31,0.71,54.3,10.3,15.9,11.9,111.0,7.8,19.3,22.3,6.4,9.9,42.4
