position_cm1,raw_counts,prominence_counts,SNR,FWHM_cm1,assignment,flag,spectrum
419.9,2389.9,99.3,5.3,2.7,unassigned,,CaF2 s1
436.2,2393.3,95.2,5.1,0.7,unassigned,,CaF2 s1
451.6,2394.4,112.7,6.0,2.9,unassigned,,CaF2 s1
472.1,2392.3,114.5,6.1,0.6,unassigned,,CaF2 s1
477.5,2379.0,129.3,6.9,1.9,unassigned,,CaF2 s1
482.9,2427.2,180.5,9.7,0.9,unassigned,,CaF2 s1
608.3,2289.8,120.4,6.5,3.1,unassigned,,CaF2 s1
641.2,2319.6,169.5,9.1,1.2,Tyr C-C twist,,CaF2 s1
692.6,2234.4,104.2,5.6,1.2,unassigned,,CaF2 s1
707.0,2239.3,112.0,6.0,0.9,unassigned,,CaF2 s1
742.4,2205.9,99.4,5.3,3.0,unassigned,,CaF2 s1
778.9,2211.9,104.0,5.6,1.2,Nucleic acid ring breathing / O-P-O,,CaF2 s1
820.5,2411.9,105.7,5.7,2.9,Tyr (Fermi doublet) / O-P-O stretch,,CaF2 s1
871.1,2343.7,109.4,5.9,0.7,"C-C-N+ (choline, lipid) / hydroxyproline",,CaF2 s1
885.2,2417.8,183.9,9.9,0.7,unassigned,,CaF2 s1
895.4,2341.4,101.9,5.5,1.2,C-C stretch / C-O-C (saccharide),,CaF2 s1
927.5,2356.2,129.2,6.9,1.2,C-C stretch protein backbone (alpha-helix),,CaF2 s1
953.2,2310.8,96.2,5.2,0.7,unassigned,,CaF2 s1
987.4,2248.8,100.6,5.4,1.6,unassigned,,CaF2 s1
992.9,2259.3,96.8,5.2,1.8,unassigned,,CaF2 s1
1003.9,2260.8,121.1,6.5,2.7,Phe ring breathing,,CaF2 s1
1017.2,2241.0,96.6,5.2,0.7,unassigned,,CaF2 s1
1076.9,2377.2,117.0,6.3,3.3,PO2- symmetric stretch / C-C (gauche lipid) / C-O (carbohydrate),,CaF2 s1
1176.7,2263.0,110.2,5.9,2.9,Tyr C-H bend,,CaF2 s1
1277.6,2344.8,95.0,5.1,1.1,Amide III,,CaF2 s1
1305.5,2390.5,118.7,6.4,1.6,CH2 twist (lipid),,CaF2 s1
1518.5,2082.8,93.8,5.0,1.1,Carotenoid C=C stretch,,CaF2 s1
1572.0,2133.0,97.0,5.2,2.2,Amide II / Trp,,CaF2 s1
1763.0,1915.9,136.9,7.3,1.3,unassigned,,CaF2 s1
449.6,179.4,31.2,7.1,2.4,unassigned,,AgSiNW S2
479.5,177.1,27.9,6.3,2.0,unassigned,,AgSiNW S2
638.3,169.4,30.1,6.8,3.1,Tyr C-C twist,,AgSiNW S2
708.4,165.8,28.6,6.5,3.1,unassigned,,AgSiNW S2
767.6,170.6,25.5,5.8,1.2,unassigned,,AgSiNW S2
859.9,167.9,23.4,5.3,2.3,"Tyr ring breathing / C-C stretch (proline, polysaccharide C-O-C)",,AgSiNW S2
1126.3,184.5,25.1,5.7,0.5,"C-C stretch (lipid, trans) / C-N stretch (protein)",,AgSiNW S2
1174.9,183.9,27.2,6.2,2.6,Tyr C-H bend,,AgSiNW S2
1243.5,201.2,23.2,5.3,1.7,Amide III,,AgSiNW S2
1253.7,203.4,23.9,5.4,1.7,Amide III,,AgSiNW S2
1262.1,204.0,27.5,6.2,2.5,Amide III,,AgSiNW S2
1279.8,213.3,36.2,8.2,1.0,Amide III,,AgSiNW S2
1307.3,212.4,30.8,7.0,1.4,CH2 twist (lipid),,AgSiNW S2
1454.2,191.7,24.9,5.6,0.6,CH2/CH3 deformation (scissoring),,AgSiNW S2
1510.9,223.5,24.7,5.6,0.8,unassigned,,AgSiNW S2
1526.0,227.8,27.6,6.2,2.1,Carotenoid C=C stretch,,AgSiNW S2
1538.4,224.3,23.4,5.3,2.7,unassigned,,AgSiNW S2
1548.2,223.6,22.7,5.1,2.2,Amide II / Trp,,AgSiNW S2
1599.1,273.5,30.5,6.9,0.6,Phe / Tyr ring C=C stretch / carbon G band,,AgSiNW S2
