spectrum,map,pixel,X_um,Y_um,map_file,1456_checks_passed,1456_pos_cm-1,1456_SNR,1456 V1,1456 V2,1456 V3,1456 V4,1456 V5,1456 V6,1456 V7,1456 V8,1456 V9,1456 V10,1726_checks_passed,1726_pos_cm-1,1726_SNR,1726 V1,1726 V2,1726 V3,1726 V4,1726 V5,1726 V6,1726 V7,1726 V8,1726 V9,1726 V10,r_fingerprint,r_CH,r_1456_1726_windows,r_per_ref_min,I1726/I1456,both_peaks_10of10,both_peaks_min_checks,match_score
m5_px11,m5,11,7.421,13.764,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,10,1451.0,5.2,True,True,True,True,True,True,True,True,True,True,5,1733.0,3.5,True,True,True,False,True,True,False,False,False,False,0.388,0.9174,0.4541,0.1663,0.277,False,5,0.5203
m3_px08,m3,8,7.421,-0.157,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,9,1464.0,9.7,True,True,True,True,True,True,True,False,True,True,3,1717.0,4.7,True,False,False,False,True,True,False,False,False,False,0.2422,0.9204,0.4123,-0.0195,0.52,False,3,0.4459
m4_px05,m4,5,3.671,4.483,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,10,1458.0,15.2,True,True,True,True,True,True,True,True,True,True,2,1731.0,2.1,False,False,False,False,True,True,False,False,False,False,0.378,0.9179,0.5408,0.1587,0.096,False,2,0.5511
m1_px04,m1,4,3.75,0.079,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,2,1454.0,1.6,False,False,False,False,False,True,False,False,True,False,9,1721.0,5.3,True,True,True,True,True,True,True,True,False,True,0.3327,0.9399,0.389,0.101,0.339,False,2,0.4767
m1_px10,m1,10,7.5,9.36,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,2,1451.0,2.3,False,False,False,False,True,True,False,False,False,False,8,1730.0,4.6,True,True,True,True,True,True,False,True,False,True,0.3181,0.9468,0.4003,0.0674,0.561,False,2,0.4767
m4_px08,m4,8,7.421,-0.157,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,2,1446.0,0.0,False,False,False,False,True,True,False,False,False,False,1,1717.0,1.2,False,False,False,False,False,True,False,False,False,False,0.4093,0.9418,0.3727,0.2019,0.079,False,1,0.5012
m2_px09,m2,9,7.579,4.64,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1457.0,1.2,False,False,False,False,False,True,False,False,False,False,5,1716.0,0.0,False,True,False,True,True,True,False,False,False,True,0.246,0.9412,0.4115,0.0137,0.334,False,1,0.4512
m5_px00,m5,0,-0.079,-0.157,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1453.0,0.3,False,False,False,False,False,True,False,False,False,False,1,1729.0,1.2,False,False,False,False,False,True,False,False,False,False,0.3124,0.8926,0.3182,0.108,0.096,False,1,0.4308
m3_px07,m3,7,3.671,13.764,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1452.0,-0.0,False,False,False,False,True,False,False,False,False,False,1,1717.0,1.4,False,False,False,False,False,True,False,False,False,False,0.2911,0.9148,0.3203,0.0728,0.216,False,1,0.4275
m5_px18,m5,18,14.922,9.124,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1454.0,1.0,False,False,False,False,False,True,False,False,False,False,1,1731.0,0.7,False,False,False,False,False,True,False,False,False,False,0.3051,0.9169,0.2987,0.081,0.103,False,1,0.4249
m5_px07,m5,7,3.671,13.764,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,9,1462.0,12.9,True,True,True,True,True,True,True,False,True,True,1,1725.0,1.5,False,False,False,False,False,True,False,False,False,False,0.2925,0.925,0.2168,0.1206,0.03,False,1,0.3887
m2_px16,m2,16,15.078,-0.0,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,9,1463.0,119.3,True,True,True,True,True,True,True,False,True,True,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.5561,0.9576,0.5457,0.3734,0.029,False,0,0.6322
m5_px09,m5,9,7.421,4.483,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,10,1461.0,15.5,True,True,True,True,True,True,True,True,True,True,0,1718.0,0.9,False,False,False,False,False,False,False,False,False,False,0.4649,0.9391,0.5203,0.2489,0.05,False,0,0.5819
m2_px06,m2,6,3.829,9.281,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,10,1453.0,12.5,True,True,True,True,True,True,True,True,True,True,0,1723.0,1.1,False,False,False,False,False,False,False,False,False,False,0.3886,0.734,0.4826,0.162,0.072,False,0,0.4953
m1_px01,m1,1,0.0,4.719,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1466.0,0.0,False,True,False,False,False,False,False,False,False,False,0,1719.0,1.7,False,False,False,False,False,False,False,False,False,False,0.3385,0.9429,0.4005,0.1046,0.091,False,0,0.4842
m1_px16,m1,16,15.0,0.079,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,3,1461.0,2.8,False,False,True,False,True,True,False,False,False,False,0,1727.0,1.0,False,False,False,False,False,False,False,False,False,False,0.2867,0.9528,0.444,0.0696,0.128,False,0,0.4828
m5_px12,m5,12,11.172,-0.157,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,9,1460.0,10.8,True,True,True,True,True,True,True,True,True,False,0,1719.0,-0.5,False,False,False,False,False,False,False,False,False,False,0.3546,0.8895,0.3986,0.1196,0.035,False,0,0.4792
m4_px00,m4,0,-0.079,-0.157,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,1,1734.0,2.0,False,False,False,False,False,True,False,False,False,False,0.3431,0.9307,0.3886,0.1778,0.051,False,0,0.4788
m3_px17,m3,17,14.922,4.483,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,5,1458.0,3.6,True,False,True,False,True,True,False,True,False,False,0,1719.0,-0.7,False,False,False,False,False,False,False,False,False,False,0.3366,0.9418,0.3879,0.148,0.036,False,0,0.4782
m4_px06,m4,6,3.671,9.124,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,8,1459.0,4.2,True,True,True,True,True,True,False,True,False,True,0,1722.0,0.7,False,False,False,False,False,False,False,False,False,False,0.3079,0.9188,0.4163,0.1369,0.079,False,0,0.4734
m1_px00,m1,0,0.0,0.079,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,5,1446.0,0.0,False,True,True,True,False,False,False,False,True,True,0,1728.0,1.3,False,False,False,False,False,False,False,False,False,False,0.329,0.9175,0.3869,0.1464,0.086,False,0,0.4699
m1_px12,m1,12,11.25,0.079,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,6,1463.0,4.5,True,True,True,True,True,True,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.3648,0.9484,0.3355,0.1598,0.018,False,0,0.4698
m3_px15,m3,15,11.172,13.764,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1447.0,-1.3,False,False,False,False,False,False,False,False,False,False,1,1719.0,2.1,False,False,False,False,False,True,False,False,False,False,0.3672,0.9458,0.3243,0.1543,0.276,False,0,0.4658
