spectrum,map,pixel_0based,spectrum_no_1based,X_um,Y_um,1456_pos,1456_SNR,1726_pos,1726_SNR,both_min_SNR
m5_px11,m5,11,12,7.421,13.764,1450.3,5.5,1729.8,4.3,4.3
m4_px05,m4,5,6,3.671,4.483,1456.8,11.9,1733.1,3.7,3.7
m1_px06,m1,6,7,3.75,9.36,1461.1,3.7,1721.1,3.0,3.0
m2_px09,m2,9,10,7.579,4.64,1458.1,2.5,1718.2,6.6,2.5
m4_px06,m4,6,7,3.671,9.124,1458.9,6.0,1722.3,2.5,2.5
m5_px07,m5,7,8,3.671,13.764,1462.4,5.6,1727.3,2.4,2.4
m1_px10,m1,10,11,7.5,9.36,1451.2,2.4,1730.2,5.8,2.4
m1_px04,m1,4,5,3.75,0.079,1452.0,2.0,1720.2,6.9,2.0
m1_px16,m1,16,17,15.0,0.079,1461.9,2.9,1729.0,1.9,1.9
m5_px18,m5,18,19,14.922,9.124,1449.0,1.8,1733.1,2.6,1.8
m5_px08,m5,8,9,7.421,-0.157,1454.2,1.6,1723.6,3.4,1.6
m3_px04,m3,4,5,3.671,-0.157,1453.3,1.6,1725.6,1.8,1.6
m5_px09,m5,9,10,7.421,4.483,1451.2,11.0,1728.1,1.4,1.4
m1_px03,m1,3,4,0.0,14.0,1449.9,3.4,1719.0,1.2,1.2
m5_px16,m5,16,17,14.922,-0.157,1449.4,1.5,1729.8,1.2,1.2
m4_px07,m4,7,8,3.671,13.764,1462.4,1.2,1727.3,2.0,1.2
m3_px07,m3,7,8,3.671,13.764,1459.8,1.1,1722.7,2.6,1.1
m1_px02,m1,2,3,0.0,9.36,1468.0,0.0,1724.0,30.5,0.0
m1_px00,m1,0,1,0.0,0.079,1445.6,0.0,1721.1,3.1,0.0
m1_px01,m1,1,2,0.0,4.719,1465.8,0.0,1715.7,0.0,0.0
m2_px14,m2,14,15,11.328,9.281,1444.2,0.0,1724.4,1.1,0.0
m2_px13,m2,13,14,11.328,4.64,1445.6,0.0,1729.8,4.5,0.0
m2_px15,m2,15,16,11.328,13.922,1465.0,0.0,1722.3,2.5,0.0
m2_px12,m2,12,13,11.328,-0.0,1445.1,0.0,1726.9,1.5,0.0
m2_px06,m2,6,7,3.829,9.281,1452.5,7.8,1714.4,0.0,0.0
m1_px09,m1,9,10,7.5,4.719,1445.6,0.0,1729.8,1.7,0.0
m1_px11,m1,11,12,7.5,14.0,1466.7,0.0,1721.5,1.4,0.0
m1_px08,m1,8,9,7.5,0.079,1446.4,0.0,1721.5,2.5,0.0
m1_px17,m1,17,18,15.0,4.719,1468.0,0.0,1732.2,2.8,0.0
m1_px12,m1,12,13,11.25,0.079,1466.7,0.0,1736.4,0.0,0.0
m1_px15,m1,15,16,11.25,14.0,1447.7,0.0,1724.0,2.8,0.0
m1_px14,m1,14,15,11.25,9.36,1466.2,0.0,1728.1,0.7,0.0
m2_px01,m2,1,2,0.079,4.64,1468.0,0.0,1717.3,0.0,0.0
m2_px05,m2,5,6,3.829,4.64,1446.0,0.0,1719.4,-0.0,-0.0
m2_px00,m2,0,1,0.079,-0.0,1466.2,0.0,1728.1,3.1,0.0
m1_px07,m1,7,8,3.75,14.0,1467.1,0.0,1727.7,3.0,0.0
m3_px18,m3,18,19,14.922,9.124,1466.7,0.0,1719.4,5.0,0.0
m3_px15,m3,15,16,11.172,13.764,1467.5,0.0,1725.6,3.2,0.0
m3_px17,m3,17,18,14.922,4.483,1444.2,0.0,1719.8,0.1,0.0
m3_px06,m3,6,7,3.671,9.124,1464.1,0.0,1734.7,0.0,0.0
m3_px08,m3,8,9,7.421,-0.157,1464.1,0.0,1715.3,0.0,0.0
m3_px09,m3,9,10,7.421,4.483,1446.0,0.0,1715.3,0.0,0.0
m3_px11,m3,11,12,7.421,13.764,1446.0,0.0,1736.9,0.0,0.0
