spectrum,map,spectrum_no_1based,X_um,Y_um,1456_pos,1456_SNR,1726_pos,1726_SNR,r_vs_S1,r_vs_S2,r_vs_CaF2
m1_px00,m1,1,0.0,0.079,1445.5,0.0,1721.1,3.1,0.678,0.874,0.552
m1_px01,m1,2,0.0,4.719,1465.8,0.0,1715.7,0.0,0.829,0.897,0.442
m1_px02,m1,3,0.0,9.36,1468.0,0.0,1724.0,30.5,0.905,0.933,0.384
m1_px03,m1,4,0.0,14.0,1449.9,3.4,1719.0,1.2,0.769,0.904,0.457
m1_px04,m1,5,3.75,0.079,1452.0,2.0,1720.2,6.9,0.824,0.913,0.483
m1_px05,m1,6,3.75,4.719,1452.0,-0.2,1715.3,0.0,0.826,0.907,0.39
m1_px06,m1,7,3.75,9.36,1461.1,3.7,1721.1,3.0,0.812,0.86,0.399
m1_px07,m1,8,3.75,14.0,1467.1,0.0,1727.7,3.0,0.767,0.868,0.448
m1_px08,m1,9,7.5,0.079,1446.4,0.0,1721.5,2.5,0.83,0.912,0.457
m1_px09,m1,10,7.5,4.719,1445.5,0.0,1729.8,1.7,0.806,0.899,0.421
m1_px10,m1,11,7.5,9.36,1451.2,2.4,1730.2,5.8,0.857,0.915,0.438
m1_px11,m1,12,7.5,14.0,1466.7,0.0,1721.5,1.4,0.815,0.913,0.425
m1_px12,m1,13,11.25,0.079,1466.7,0.0,1736.4,0.0,0.766,0.912,0.527
m1_px13,m1,14,11.25,4.719,1458.9,-0.2,1716.1,0.0,0.824,0.933,0.439
m1_px14,m1,15,11.25,9.36,1466.2,0.0,1728.1,0.7,0.817,0.936,0.461
m1_px15,m1,16,11.25,14.0,1447.7,0.0,1724.0,2.8,0.89,0.923,0.41
m1_px16,m1,17,15.0,0.079,1461.9,2.9,1729.0,1.9,0.861,0.91,0.455
m1_px17,m1,18,15.0,4.719,1468.0,0.0,1732.2,2.8,0.872,0.927,0.396
m1_px18,m1,19,15.0,9.36,1448.6,-1.6,1714.4,0.0,0.825,0.92,0.452
m1_px19,m1,20,15.0,14.0,1451.6,-1.9,1714.0,0.0,0.835,0.918,0.42
m2_px00,m2,1,0.079,-0.0,1466.2,0.0,1728.1,3.1,0.64,0.827,0.525
m2_px01,m2,2,0.079,4.64,1468.0,0.0,1717.3,0.0,0.911,0.913,0.374
m2_px02,m2,3,0.079,9.281,1462.4,-4.4,1737.3,0.0,0.886,0.91,0.366
m2_px03,m2,4,0.079,13.922,1451.6,-0.5,1726.9,1.7,0.776,0.935,0.462
m2_px04,m2,5,3.829,-0.0,1468.0,0.0,1731.0,2.0,0.93,0.916,0.374
m2_px05,m2,6,3.829,4.64,1446.0,0.0,1719.4,-0.0,0.795,0.892,0.435
m2_px06,m2,7,3.829,9.281,1452.5,7.8,1714.4,0.0,0.788,0.907,0.517
m2_px07,m2,8,3.829,13.922,1449.0,-0.7,1736.4,0.0,0.803,0.928,0.465
m2_px08,m2,9,7.579,-0.0,1444.7,0.0,1715.7,0.0,0.816,0.922,0.46
m2_px09,m2,10,7.579,4.64,1458.1,2.5,1718.2,6.6,0.844,0.886,0.391
m2_px10,m2,11,7.579,9.281,1454.2,3.0,1736.8,0.0,0.843,0.932,0.49
m2_px11,m2,12,7.579,13.922,1454.6,-0.6,1735.6,0.0,0.886,0.942,0.421
m2_px12,m2,13,11.328,-0.0,1445.1,0.0,1726.9,1.5,0.772,0.903,0.457
m2_px13,m2,14,11.328,4.64,1445.5,0.0,1729.8,4.5,0.868,0.95,0.393
