spectrum,type,1456_pos,1456_SNR,1726_pos,1726_SNR,r_vs_CaF2_fingerprint,r_vs_CaF2_CH,CH_max_pos,spectrum_no_1based,X_um,Y_um
s3,single,1461.1,2.9,1714.0,0.0,0.52,0.935,2929.0,,,
s4,single,1448.1,1.5,1719.8,2.7,0.446,0.943,2939.0,,,
s4a,single,1456.8,0.9,1729.8,1.7,0.406,0.962,2932.0,,,
m1_px00,map m1,1449.9,1.7,1717.3,0.0,0.369,,,1.0,0.0,0.0
m1_px01,map m1,1449.4,2.1,1718.6,2.7,0.497,,,2.0,0.0,4.233
m1_px02,map m1,1453.3,1.5,1717.3,0.0,0.443,,,3.0,0.0,8.466
m1_px03,map m1,1451.6,2.2,1733.5,2.0,0.335,,,4.0,0.0,12.698
m1_px04,map m1,1459.8,1.9,1720.7,2.5,0.496,,,5.0,0.0,16.931
m1_px05,map m1,1453.3,2.2,1720.7,2.9,0.45,,,6.0,4.646,0.0
m1_px06,map m1,1452.0,-4.0,1723.5,3.1,0.442,,,7.0,4.646,4.233
m1_px07,map m1,1459.3,1.5,1730.6,3.7,0.478,,,8.0,4.646,8.466
m1_px08,map m1,1461.5,3.4,1725.2,3.2,0.493,,,9.0,4.646,12.698
m1_px09,map m1,1466.2,0.0,1737.3,0.0,0.425,,,10.0,4.646,16.931
m1_px10,map m1,1462.4,1.0,1722.7,2.7,0.404,,,11.0,9.292,0.0
m1_px11,map m1,1447.3,0.0,1737.7,0.0,0.493,,,12.0,9.292,4.233
m1_px12,map m1,1455.9,1.4,1725.6,2.3,0.484,,,13.0,9.292,8.466
m1_px13,map m1,1445.1,0.0,1726.0,1.2,0.397,,,14.0,9.292,12.698
m1_px14,map m1,1459.3,2.8,1719.8,2.7,0.531,,,15.0,9.292,16.931
m1_px15,map m1,1461.5,1.5,1716.1,0.0,0.404,,,16.0,13.938,0.0
m1_px16,map m1,1444.7,0.0,1721.9,3.4,0.49,,,17.0,13.938,4.233
m1_px17,map m1,1467.1,0.0,1715.3,0.0,0.466,,,18.0,13.938,8.466
m1_px18,map m1,1456.8,2.6,1726.9,2.3,0.445,,,19.0,13.938,12.698
m1_px19,map m1,1447.7,0.0,1717.8,0.0,0.38,,,20.0,13.938,16.931
m6a_px00,map m6a,,,,,,0.988,2935.0,1.0,0.276,0.223
m6a_px01,map m6a,,,,,,0.985,2940.0,2.0,0.276,4.852
m6a_px02,map m6a,,,,,,0.987,2935.0,3.0,0.276,9.481
m6a_px03,map m6a,,,,,,0.981,2933.0,4.0,0.276,14.11
m6a_px04,map m6a,,,,,,0.984,2944.0,5.0,3.97,0.223
m6a_px05,map m6a,,,,,,0.984,2936.0,6.0,3.97,4.852
m6a_px06,map m6a,,,,,,0.984,2932.0,7.0,3.97,9.481
m6a_px07,map m6a,,,,,,0.985,2934.0,8.0,3.97,14.11
m6a_px08,map m6a,,,,,,0.985,2936.0,9.0,7.665,0.223
m6a_px09,map m6a,,,,,,0.988,2938.0,10.0,7.665,4.852
m6a_px10,map m6a,,,,,,0.988,2940.0,11.0,7.665,9.481
m6a_px11,map m6a,,,,,,0.961,2937.0,12.0,7.665,14.11
m6a_px12,map m6a,,,,,,0.983,2940.0,13.0,11.36,0.223
m6a_px13,map m6a,,,,,,0.988,2938.0,14.0,11.36,4.852
m6a_px14,map m6a,,,,,,0.985,2943.0,15.0,11.36,9.481
m6a_px15,map m6a,,,,,,0.985,2933.0,16.0,11.36,14.11
m6a_px16,map m6a,,,,,,0.985,2933.0,17.0,15.055,0.223
m6a_px17,map m6a,,,,,,0.986,2938.0,18.0,15.055,4.852
m6a_px18,map m6a,,,,,,0.985,2933.0,19.0,15.055,9.481
m6a_px19,map m6a,,,,,,0.984,2933.0,20.0,15.055,14.11
