band_cm-1,Acacia s10 SNR,Acacia s10 pos,Acacia s8 SNR,Acacia s8 pos,Acacia s5 SNR,Acacia s5 pos,Acacia s9 SNR,Acacia s9 pos,Acacia s4 SNR,Acacia s4 pos,nano s1 SNR,nano s1 pos,Acacia present (of 5),nano present,Acacia mean SNR,verdict
460,1.0,460.2,1.4,464.6,0.4,469.6,1.3,454.5,1.1,453.1,2.4,459.5,0,0/1,1.0,weak/uncertain in both
508,0.2,514.4,0.0,517.8,-0.7,515.4,0.5,517.8,0.0,517.8,3.1,507.5,0,1/1,0.0,only in nano
850,6.4,849.6,4.8,851.4,3.1,848.6,6.3,851.4,3.9,854.3,5.8,852.8,5,1/1,4.9,both
901,0.7,894.9,0.9,910.8,0.0,891.2,0.0,892.6,0.0,891.2,3.4,901.0,0,1/1,0.3,only in nano
928,5.6,930.7,6.0,933.1,4.9,925.6,7.4,924.7,3.7,927.0,1.9,929.8,5,0/1,5.5,MISSING in nano
1095,2.2,1085.1,1.5,1086.0,0.5,1096.0,2.0,1086.0,1.2,1085.5,27.6,1095.0,0,1/1,1.5,only in nano
1118,5.4,1120.4,4.4,1122.7,4.0,1118.6,6.0,1120.4,3.7,1116.8,7.8,1120.9,5,1/1,4.7,both
1302,3.5,1300.7,3.5,1306.0,2.5,1306.9,3.1,1306.0,2.9,1302.0,0.9,1292.6,3,0/1,3.1,MISSING in nano
1346,4.6,1346.9,3.7,1345.5,3.5,1347.7,4.9,1343.8,2.7,1341.2,6.8,1338.5,4,1/1,3.9,"both, nano shifted 8"
1379,-0.3,1375.7,0.0,1369.2,0.0,1369.2,0.3,1388.8,-0.3,1373.1,5.1,1380.0,0,1/1,-0.1,only in nano
1455,33.6,1457.2,24.9,1455.1,17.4,1457.6,32.2,1455.1,17.1,1455.1,0.0,1465.0,5,0/1,25.0,MISSING in nano
1468,0.0,1458.1,0.0,1458.1,0.0,1458.1,0.0,1458.1,0.0,1458.1,10.6,1467.1,0,1/1,0.0,only in nano
1608,5.2,1607.5,5.4,1610.0,3.9,1610.4,3.8,1601.6,4.5,1607.9,19.8,1603.3,5,1/1,4.6,both
1727,15.7,1729.0,11.2,1727.7,8.6,1727.3,16.8,1729.8,9.2,1731.9,2.1,1722.3,5,0/1,12.3,MISSING in nano
2885,37.2,2880.2,26.6,2881.7,22.0,2881.7,32.6,2881.2,22.3,2880.2,30.3,2890.8,5,1/1,28.1,"both, nano shifted 6"
2937,117.5,2936.4,93.7,2937.4,74.4,2936.7,115.4,2936.7,67.3,2937.7,7.1,2947.0,5,1/1,93.7,"both, nano shifted 10"
