EV Acacia on AgSiNW (cm-1),EV nano Acacia on AgSiNW (cm-1),shift (cm-1),SNR EV Acacia on AgSiNW,SNR EV nano Acacia on AgSiNW,status,assignment
493.8,,,5.8,,only in EV Acacia on AgSiNW,unassigned
518.8,521.2,2.4,17.3,7.4,in both,Si optical phonon (substrate)
539.4,,,5.5,,only in EV Acacia on AgSiNW,unassigned
666.7,,,5.9,,only in EV Acacia on AgSiNW,unassigned
764.2,,,5.5,,only in EV Acacia on AgSiNW,Trp ring breathing
801.1,,,6.8,,only in EV Acacia on AgSiNW,unassigned
830.8,,,12.9,,only in EV Acacia on AgSiNW,Tyr (Fermi doublet) / O-P-O stretch
855.2,,,7.9,,only in EV Acacia on AgSiNW,"Tyr ring breathing / C-C stretch (proline, polysaccharide C-O-C)"
933.0,,,5.8,,only in EV Acacia on AgSiNW,C-C stretch protein backbone (alpha-helix)
1003.0,,,22.6,,only in EV Acacia on AgSiNW,Phe ring breathing
1054.2,,,16.9,,only in EV Acacia on AgSiNW,unassigned
1096.5,,,5.9,,only in EV Acacia on AgSiNW,PO2- symmetric stretch / C-C (gauche lipid) / C-O (carbohydrate)
1138.5,,,6.6,,only in EV Acacia on AgSiNW,unassigned
1168.6,,,7.7,,only in EV Acacia on AgSiNW,Tyr C-H bend
1246.6,,,9.3,,only in EV Acacia on AgSiNW,Amide III
,1288.6,,,6.1,only in EV nano Acacia on AgSiNW,Amide III
1300.2,,,8.4,,only in EV Acacia on AgSiNW; nearest EV nano Acacia on AgSiNW band at 1288.6 (Δ11.6),CH2 twist (lipid)
1367.8,,,29.1,,only in EV Acacia on AgSiNW,COO- symmetric stretch / CH3 bend / carbon D band
,1384.8,,,20.9,only in EV nano Acacia on AgSiNW,COO- symmetric stretch / CH3 bend / carbon D band
1602.9,1605.8,2.9,58.4,31.7,in both,Phe / Tyr ring C=C stretch / carbon G band
2929.5,,,9.7,,outside EV nano Acacia on AgSiNW range,CH3 symmetric stretch (protein) / CH stretch
