group,spectrum,file,position_cm1,raw_counts,prominence_counts,SNR,FWHM_cm1,assignment,flag
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,322.3,2058.0,363.2,25.1,6.6,CaF2 lattice mode (substrate),
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,532.5,1457.4,92.2,6.4,8.2,unassigned,
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,850.5,1550.6,187.1,13.0,42.1,"Tyr ring breathing / C-C stretch (proline, polysaccharide C-O-C)",
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,925.2,1486.4,122.9,8.5,11.8,C-C stretch protein backbone (alpha-helix),
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,1000.3,1364.7,99.1,6.9,6.0,Phe ring breathing,
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,1083.7,1498.1,203.6,14.1,36.9,PO2- symmetric stretch / C-C (gauche lipid) / C-O (carbohydrate),
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,1117.2,1494.9,111.3,7.7,3.9,"C-C stretch (lipid, trans) / C-N stretch (protein)",narrow (near resolution) - verify
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,1302.9,1443.1,153.7,10.6,18.1,CH2 twist (lipid),
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,1457.6,1768.8,531.4,36.8,24.4,CH2/CH3 deformation (scissoring),
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,1559.2,1182.5,87.0,6.0,11.8,Amide II / Trp,
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,1606.6,1226.0,130.5,9.0,9.1,Phe / Tyr ring C=C stretch,
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,1721.5,1299.2,252.1,17.4,27.4,"C=O stretch (ester, lipids)",
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,2884.2,2646.5,169.0,11.7,5.6,CH2 asymmetric stretch (lipid),
EV Acacia on CaF2,s10,s10-EV_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.l6s,2936.0,4238.7,1802.1,124.8,31.6,CH3 symmetric stretch (protein) / CH stretch,
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,381.1,5432.5,347.6,10.9,9.5,unassigned,
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,435.8,5422.4,226.0,7.1,4.8,unassigned,
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,459.7,5437.6,205.8,6.5,6.4,unassigned,
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,507.5,5482.1,288.8,9.1,3.8,unassigned,narrow (near resolution) - verify
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,851.4,5945.8,280.1,8.8,15.8,"Tyr ring breathing / C-C stretch (proline, polysaccharide C-O-C)",
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,899.6,5948.6,280.6,8.8,10.2,C-C stretch / C-O-C (saccharide),
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,1096.4,7481.7,1452.7,45.7,22.9,PO2- symmetric stretch / C-C (gauche lipid) / C-O (carbohydrate),
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,1118.6,6857.4,233.0,7.3,4.5,"C-C stretch (lipid, trans) / C-N stretch (protein)",
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,1291.3,6485.8,175.8,5.5,4.8,CH2 twist (lipid),
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,1339.0,6740.3,270.5,8.5,14.9,"CH3CH2 wagging (protein, nucleic acids)",
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,1377.4,6774.5,436.8,13.7,10.1,COO- symmetric stretch / CH3 bend,
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,1465.4,6730.1,392.4,12.3,18.7,CH2/CH3 deformation (scissoring),
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,1603.7,6925.9,753.2,23.7,16.5,Phe / Tyr ring C=C stretch,
EV nano Acacia on CaF2,s1,s1-EV_nano_Acacia-dropCaF2_532nm_1800gr_100_100x_BC50_60s_4a.txt,2894.9,8301.7,910.7,28.7,25.3,CH2 asymmetric stretch (lipid),
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,493.8,237.3,34.3,5.8,7.1,unassigned,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,518.8,295.1,101.8,17.3,6.9,Si optical phonon (substrate),
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,539.4,218.3,32.5,5.5,4.7,unassigned,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,666.7,215.8,34.6,5.9,9.2,unassigned,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,764.2,223.5,32.7,5.5,5.6,Trp ring breathing,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,801.1,265.3,40.4,6.8,13.6,unassigned,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,830.8,266.6,75.8,12.9,13.5,Tyr (Fermi doublet) / O-P-O stretch,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,855.2,253.3,46.7,7.9,6.9,"Tyr ring breathing / C-C stretch (proline, polysaccharide C-O-C)",
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,933.0,232.8,34.5,5.8,5.3,C-C stretch protein backbone (alpha-helix),
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1003.0,331.5,133.2,22.6,10.7,Phe ring breathing,
