spectrum,position_cm1,raw_counts,prominence_counts,SNR,FWHM_cm1,assignment,flag
EV Acacia on CaF2 s10,361.0,1565.6,78.5,5.4,0.7,unassigned,
EV Acacia on CaF2 s10,394.0,1514.1,75.5,5.2,0.5,unassigned,
EV Acacia on CaF2 s10,440.2,1514.3,80.8,5.6,2.8,unassigned,
EV Acacia on CaF2 s10,453.6,1503.1,74.6,5.2,2.3,unassigned,
EV Acacia on CaF2 s10,471.6,1493.1,80.0,5.5,0.7,unassigned,
EV Acacia on CaF2 s10,487.4,1490.8,103.4,7.2,2.9,unassigned,
EV Acacia on CaF2 s10,514.4,1449.7,76.1,5.3,2.4,unassigned,
EV Acacia on CaF2 s10,579.8,1405.0,80.1,5.5,0.8,unassigned,
EV Acacia on CaF2 s10,642.2,1382.7,87.7,6.1,1.3,Tyr C-C twist,
EV Acacia on CaF2 s10,653.3,1368.5,72.4,5.0,1.7,unassigned,
EV Acacia on CaF2 s10,704.6,1341.7,79.8,5.5,0.9,unassigned,
EV Acacia on CaF2 s10,718.0,1325.8,89.6,6.2,2.7,unassigned,
EV Acacia on CaF2 s10,745.2,1316.7,76.2,5.3,3.2,unassigned,
EV Acacia on CaF2 s10,823.7,1541.6,77.8,5.4,3.2,Tyr (Fermi doublet) / O-P-O stretch,
EV Acacia on CaF2 s10,887.0,1462.7,97.0,6.7,4.2,unassigned,
EV Acacia on CaF2 s10,975.4,1370.5,95.9,6.6,0.7,unassigned,
EV Acacia on CaF2 s10,1170.4,1335.2,87.4,6.0,1.5,Tyr C-H bend,
EV Acacia on CaF2 s10,1243.9,1411.3,88.5,6.1,1.8,Amide III,
EV Acacia on CaF2 s10,1322.3,1429.7,97.4,6.7,0.8,unassigned,
EV Acacia on CaF2 s10,1510.4,1163.9,73.1,5.1,1.5,unassigned,
EV Acacia on CaF2 s10,1594.8,1219.8,88.3,6.1,1.1,COO- asymmetric stretch / Phe,
EV Acacia on CaF2 s10,1672.8,1131.7,79.2,5.5,1.4,Amide I / C=C stretch (lipid),
EV Acacia on CaF2 s10,1685.8,1130.5,79.5,5.5,1.8,unassigned,
EV Acacia on CaF2 s10,2894.6,2586.4,73.0,5.1,1.0,CH2 asymmetric stretch (lipid),
EV Acacia on CaF2 s10,2940.1,4194.6,99.4,6.9,0.4,CH3 symmetric stretch (protein) / CH stretch,
EV Acacia on CaF2 s10,2948.7,3694.0,90.8,6.3,0.6,CH3 symmetric stretch (protein) / CH stretch,
EV Acacia on CaF2 s10,2971.6,2360.0,94.6,6.5,0.5,CH3 asymmetric stretch,
