spectrum,label,range,ref_bands_testable,ref_bands_matched,extra_peaks,matched_SNR_sum,fraction_matched
m2_px02,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",200-3200,14,7,12,118.3,0.5
m5_px09,"m5 spectrum #10 (X=7.42, Y=4.48 µm)",200-3200,14,6,9,97.9,0.429
m1_px13,"m1 spectrum #14 (X=11.25, Y=4.72 µm)",200-3200,14,6,11,79.5,0.429
m1_px00,"m1 spectrum #1 (X=0.00, Y=0.08 µm)",200-3200,14,6,12,65.7,0.429
m3_px10,"m3 spectrum #11 (X=7.42, Y=9.12 µm)",200-3200,14,6,13,87.8,0.429
m2_px05,"m2 spectrum #6 (X=3.83, Y=4.64 µm)",200-3200,14,6,14,80.4,0.429
m4_px02,"m4 spectrum #3 (X=-0.08, Y=9.12 µm)",200-3200,14,6,16,116.9,0.429
m5_px00,"m5 spectrum #1 (X=-0.08, Y=-0.16 µm)",200-3200,14,5,7,61.4,0.357
m2_px01,"m2 spectrum #2 (X=0.08, Y=4.64 µm)",200-3200,14,5,9,91.2,0.357
m1_px02,"m1 spectrum #3 (X=0.00, Y=9.36 µm)",200-3200,14,5,10,140.0,0.357
m4_px08,"m4 spectrum #9 (X=7.42, Y=-0.16 µm)",200-3200,14,5,10,76.9,0.357
m5_px12,"m5 spectrum #13 (X=11.17, Y=-0.16 µm)",200-3200,14,5,10,46.1,0.357
m2_px14,"m2 spectrum #15 (X=11.33, Y=9.28 µm)",200-3200,14,5,11,78.0,0.357
m5_px03,"m5 spectrum #4 (X=-0.08, Y=13.76 µm)",200-3200,14,5,11,75.5,0.357
m2_px17,"m2 spectrum #18 (X=15.08, Y=4.64 µm)",200-3200,14,5,11,75.2,0.357
m5_px18,"m5 spectrum #19 (X=14.92, Y=9.12 µm)",200-3200,14,5,11,64.6,0.357
m3_px02,"m3 spectrum #3 (X=-0.08, Y=9.12 µm)",200-3200,14,5,12,54.7,0.357
m5_px16,"m5 spectrum #17 (X=14.92, Y=-0.16 µm)",200-3200,14,5,14,76.8,0.357
m5_px19,"m5 spectrum #20 (X=14.92, Y=13.76 µm)",200-3200,14,5,14,70.0,0.357
m4_px15,"m4 spectrum #16 (X=11.17, Y=13.76 µm)",200-3200,14,5,16,69.9,0.357
m3_px05,"m3 spectrum #6 (X=3.67, Y=4.48 µm)",200-3200,14,5,16,62.9,0.357
m4_px19,"m4 spectrum #20 (X=14.92, Y=13.76 µm)",200-3200,14,4,7,87.4,0.286
m4_px13,"m4 spectrum #14 (X=11.17, Y=4.48 µm)",200-3200,14,4,7,66.2,0.286
m5_px05,"m5 spectrum #6 (X=3.67, Y=4.48 µm)",200-3200,14,4,7,63.9,0.286
m3_px11,"m3 spectrum #12 (X=7.42, Y=13.76 µm)",200-3200,14,4,7,39.5,0.286
m1_px07,"m1 spectrum #8 (X=3.75, Y=14.00 µm)",200-3200,14,4,8,74.5,0.286
m2_px04,"m2 spectrum #5 (X=3.83, Y=-0.00 µm)",200-3200,14,4,8,69.2,0.286
m3_px14,"m3 spectrum #15 (X=11.17, Y=9.12 µm)",200-3200,14,4,8,59.6,0.286
m4_px12,"m4 spectrum #13 (X=11.17, Y=-0.16 µm)",200-3200,14,4,8,56.1,0.286
m5_px13,"m5 spectrum #14 (X=11.17, Y=4.48 µm)",200-3200,14,4,9,74.0,0.286
m5_px02,"m5 spectrum #3 (X=-0.08, Y=9.12 µm)",200-3200,14,4,9,60.2,0.286
m4_px04,"m4 spectrum #5 (X=3.67, Y=-0.16 µm)",200-3200,14,4,10,82.4,0.286
m2_px10,"m2 spectrum #11 (X=7.58, Y=9.28 µm)",200-3200,14,4,10,72.8,0.286
m1_px17,"m1 spectrum #18 (X=15.00, Y=4.72 µm)",200-3200,14,4,10,62.2,0.286
m5_px17,"m5 spectrum #18 (X=14.92, Y=4.48 µm)",200-3200,14,4,10,57.5,0.286
m2_px18,"m2 spectrum #19 (X=15.08, Y=9.28 µm)",200-3200,14,4,11,51.1,0.286
m3_px06,"m3 spectrum #7 (X=3.67, Y=9.12 µm)",200-3200,14,4,11,50.0,0.286
m3_px09,"m3 spectrum #10 (X=7.42, Y=4.48 µm)",200-3200,14,4,12,77.1,0.286
m4_px06,"m4 spectrum #7 (X=3.67, Y=9.12 µm)",200-3200,14,4,12,66.4,0.286
m4_px16,"m4 spectrum #17 (X=14.92, Y=-0.16 µm)",200-3200,14,4,12,52.5,0.286
m1_px18,"m1 spectrum #19 (X=15.00, Y=9.36 µm)",200-3200,14,4,12,34.8,0.286
m2_px12,"m2 spectrum #13 (X=11.33, Y=-0.00 µm)",200-3200,14,4,13,61.1,0.286
m3_px07,"m3 spectrum #8 (X=3.67, Y=13.76 µm)",200-3200,14,4,14,45.1,0.286
m5_px14,"m5 spectrum #15 (X=11.17, Y=9.12 µm)",200-3200,14,4,15,44.5,0.286
