spectrum,label,range,ref_bands_testable,ref_bands_matched,extra_peaks,matched_SNR_sum,fraction_matched
m1_px19,"m1 spectrum #20 (X=13.94, Y=16.93 µm)",200-1800,13,3,1,58.7,0.231
m1_px16,"m1 spectrum #17 (X=13.94, Y=4.23 µm)",200-1800,13,3,1,30.5,0.231
m1_px04,"m1 spectrum #5 (X=0.00, Y=16.93 µm)",200-1800,13,3,2,33.5,0.231
m1_px03,"m1 spectrum #4 (X=0.00, Y=12.70 µm)",200-1800,13,3,3,31.1,0.231
m1_px12,"m1 spectrum #13 (X=9.29, Y=8.47 µm)",200-1800,13,3,9,56.7,0.231
m1_px08,"m1 spectrum #9 (X=4.65, Y=12.70 µm)",200-1800,13,2,1,28.0,0.154
m1_px01,"m1 spectrum #2 (X=0.00, Y=4.23 µm)",200-1800,13,2,1,16.2,0.154
m1_px09,"m1 spectrum #10 (X=4.65, Y=16.93 µm)",200-1800,13,2,2,32.8,0.154
m1_px11,"m1 spectrum #12 (X=9.29, Y=4.23 µm)",200-1800,13,2,4,33.3,0.154
m1_px18,"m1 spectrum #19 (X=13.94, Y=12.70 µm)",200-1800,13,2,5,41.4,0.154
m1_px15,"m1 spectrum #16 (X=13.94, Y=0.00 µm)",200-1800,13,2,5,36.3,0.154
m1_px05,"m1 spectrum #6 (X=4.65, Y=0.00 µm)",200-1800,13,2,5,24.3,0.154
m1_px02,"m1 spectrum #3 (X=0.00, Y=8.47 µm)",200-1800,13,2,7,23.7,0.154
m1_px06,"m1 spectrum #7 (X=4.65, Y=4.23 µm)",200-1800,13,2,8,36.6,0.154
m1_px14,"m1 spectrum #15 (X=9.29, Y=16.93 µm)",200-1800,13,1,3,12.6,0.077
m1_px13,"m1 spectrum #14 (X=9.29, Y=12.70 µm)",200-1800,13,1,4,25.6,0.077
m1_px17,"m1 spectrum #18 (X=13.94, Y=8.47 µm)",200-1800,13,1,4,17.3,0.077
m1_px07,"m1 spectrum #8 (X=4.65, Y=8.47 µm)",200-1800,13,1,5,20.2,0.077
m1_px10,"m1 spectrum #11 (X=9.29, Y=0.00 µm)",200-1800,13,1,6,12.5,0.077
s4,s4,200-3100,14,1,5,14.1,0.071
s3,s3,200-3100,14,1,7,9.4,0.071
s4a,s4a,200-3100,14,1,8,18.7,0.071
m6a_px00,"m6a spectrum #1 (X=0.28, Y=0.22 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px01,"m6a spectrum #2 (X=0.28, Y=4.85 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px02,"m6a spectrum #3 (X=0.28, Y=9.48 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px03,"m6a spectrum #4 (X=0.28, Y=14.11 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px04,"m6a spectrum #5 (X=3.97, Y=0.22 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px05,"m6a spectrum #6 (X=3.97, Y=4.85 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px06,"m6a spectrum #7 (X=3.97, Y=9.48 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px07,"m6a spectrum #8 (X=3.97, Y=14.11 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px08,"m6a spectrum #9 (X=7.67, Y=0.22 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px09,"m6a spectrum #10 (X=7.67, Y=4.85 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px10,"m6a spectrum #11 (X=7.67, Y=9.48 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px11,"m6a spectrum #12 (X=7.67, Y=14.11 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px12,"m6a spectrum #13 (X=11.36, Y=0.22 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px13,"m6a spectrum #14 (X=11.36, Y=4.85 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px14,"m6a spectrum #15 (X=11.36, Y=9.48 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px15,"m6a spectrum #16 (X=11.36, Y=14.11 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px16,"m6a spectrum #17 (X=15.05, Y=0.22 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px17,"m6a spectrum #18 (X=15.05, Y=4.85 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px18,"m6a spectrum #19 (X=15.05, Y=9.48 µm)",2700-3100,0,0,0,0.0,0.0
m6a_px19,"m6a spectrum #20 (X=15.05, Y=14.11 µm)",2700-3100,0,0,0,0.0,0.0
m1_px00,"m1 spectrum #1 (X=0.00, Y=0.00 µm)",200-1800,13,0,5,0.0,0.0
