position_cm1,raw_counts,prominence_counts,SNR,FWHM_cm1,assignment,flag,spectrum
494.7,5447.3,184.0,5.8,3.1,unassigned,,CaF2 s1
633.0,5505.5,181.9,5.7,2.3,unassigned,,CaF2 s1
698.8,5509.8,188.4,5.9,2.0,unassigned,,CaF2 s1
868.8,5875.9,178.0,5.6,2.5,unassigned,,CaF2 s1
878.6,5852.7,187.0,5.9,1.1,"C-C-N+ (choline, lipid) / hydroxyproline",,CaF2 s1
962.4,5974.9,166.1,5.2,0.5,unassigned,,CaF2 s1
978.6,6010.1,171.3,5.4,1.3,unassigned,,CaF2 s1
986.0,6024.6,185.5,5.8,1.5,unassigned,,CaF2 s1
1002.1,6101.6,253.9,8.0,2.0,Phe ring breathing,,CaF2 s1
1244.8,6493.1,174.1,5.5,1.1,Amide III,,CaF2 s1
1258.1,6546.8,237.3,7.5,1.2,Amide III,,CaF2 s1
1269.2,6546.1,205.2,6.5,0.6,Amide III,,CaF2 s1
1301.6,6492.5,175.7,5.5,0.7,CH2 twist (lipid),,CaF2 s1
1315.2,6582.4,196.3,6.2,0.7,unassigned,,CaF2 s1
1404.0,6641.9,184.8,5.8,1.1,unassigned,,CaF2 s1
1534.5,6338.0,165.3,5.2,1.4,unassigned,,CaF2 s1
1574.5,6411.4,182.3,5.7,1.3,Amide II / Trp,,CaF2 s1
1685.8,6181.3,161.2,5.1,2.2,unassigned,,CaF2 s1
1712.0,6150.7,159.7,5.0,0.9,"C=O stretch (ester, lipids)",,CaF2 s1
1721.5,6151.8,167.4,5.3,1.9,"C=O stretch (ester, lipids)",,CaF2 s1
421.4,146.2,19.7,5.2,1.0,unassigned,,AgSiNW s4
701.2,147.6,21.0,5.6,1.8,unassigned,,AgSiNW s4
711.3,152.6,25.0,6.6,1.0,unassigned,,AgSiNW s4
720.9,152.0,19.1,5.1,0.7,unassigned,,AgSiNW s4
841.1,155.9,22.0,5.8,0.8,"Tyr ring breathing / C-C stretch (proline, polysaccharide C-O-C)",,AgSiNW s4
926.5,167.3,33.4,8.9,2.0,C-C stretch protein backbone (alpha-helix),,AgSiNW s4
955.5,162.2,27.1,7.2,1.9,Si 2nd-order phonon (substrate),,AgSiNW s4
968.0,161.3,21.2,5.6,0.6,Si 2nd-order phonon (substrate),,AgSiNW s4
1001.6,166.9,32.9,8.7,3.2,Phe ring breathing,,AgSiNW s4
1037.8,155.7,21.5,5.7,1.8,unassigned,,AgSiNW s4
1081.9,158.1,19.7,5.2,2.9,PO2- symmetric stretch / C-C (gauche lipid) / C-O (carbohydrate),,AgSiNW s4
1111.4,160.0,26.0,6.9,1.8,unassigned,,AgSiNW s4
1198.4,150.7,19.5,5.2,2.9,unassigned,,AgSiNW s4
1291.7,161.2,22.5,6.0,3.4,CH2 twist (lipid),,AgSiNW s4
1306.4,162.8,22.3,5.9,0.8,CH2 twist (lipid),,AgSiNW s4
1448.6,158.5,19.8,5.2,1.6,CH2/CH3 deformation (scissoring),,AgSiNW s4
1455.9,160.1,21.9,5.8,1.0,CH2/CH3 deformation (scissoring),,AgSiNW s4
1516.8,161.5,19.5,5.2,3.6,Carotenoid C=C stretch,,AgSiNW s4
1587.7,176.5,21.2,5.6,1.2,COO- asymmetric stretch / carbon G band / Phe,,AgSiNW s4
1698.6,149.6,20.3,5.4,3.0,unassigned,,AgSiNW s4
1750.5,143.1,20.2,5.4,1.0,unassigned,,AgSiNW s4
