wavenumber_cm-1,raw_avg,denoised,normalized,snv
2.008859252929687500e+02,1.767497897677951357e+02,1.734115043295951466e+02,3.651789379964964777e-03,-4.845441220333404631e-01
2.026967926025390625e+02,1.753346190275969434e+02,1.727082224196306584e+02,3.484408802995653948e-03,-4.915327386086716377e-01
2.045073089599609375e+02,1.744160749647352304e+02,1.717578689322879200e+02,3.258225372450346182e-03,-5.009765420678030656e-01
2.063174591064453125e+02,1.721464628996672559e+02,1.705814521489819242e+02,2.978239043844110347e-03,-5.126667700045990372e-01
2.081272735595703125e+02,1.704140647605613310e+02,1.692732132830256546e+02,2.666879156585678923e-03,-5.256669335145293109e-01
2.099367218017578125e+02,1.697530020254629619e+02,1.680530135276650014e+02,2.376472512853877554e-03,-5.377922393338687712e-01
2.117458190917968750e+02,1.689759374547887774e+02,1.670581792569049071e+02,2.139702688592257703e-03,-5.476780549304799406e-01
2.135545654296875000e+02,1.666309854012948506e+02,1.663225637886580159e+02,1.964626748548624693e-03,-5.549879748667396751e-01
2.153629608154296875e+02,1.664569035282841298e+02,1.658338932550855418e+02,1.848323521210683143e-03,-5.598439663865172333e-01
2.171688995361328125e+02,1.647405107286241446e+02,1.654391815678902731e+02,1.754382430158575503e-03,-5.637662749238562254e-01
2.189765930175781250e+02,1.650106268988715215e+02,1.650206270819653582e+02,1.654766770556662537e-03,-5.679255128860011270e-01
2.207839355468750000e+02,1.659674044008608291e+02,1.646426743174881722e+02,1.564814290777207092e-03,-5.716812855243885716e-01
2.225909271240234375e+02,1.641820622196903798e+02,1.643000473675177773e+02,1.483269328851233955e-03,-5.750860203082523991e-01
2.243975677490234375e+02,1.630465449580439952e+02,1.639334645933817853e+02,1.396022898404883925e-03,-5.787288076674310666e-01
2.262038574218750000e+02,1.611979709201388857e+02,1.635375511199125356e+02,1.301795783104060886e-03,-5.826630585330958567e-01
2.280097961425781250e+02,1.617908816867404482e+02,1.630558266015002005e+02,1.187145702262095825e-03,-5.874500264707324115e-01
2.298153686523437500e+02,1.621692906132450673e+02,1.624914017404090885e+02,1.052813000728476407e-03,-5.930587999708919478e-01
2.316206054687500000e+02,1.614898116500289404e+02,1.619929254297728676e+02,9.341760056662301755e-04,-5.980122329507023826e-01
2.334254913330078125e+02,1.612100507948133554e+02,1.616365589966245011e+02,8.493610568559004960e-04,-6.015534990152854311e-01
2.352279205322265625e+02,1.617656990333839815e+02,1.613798363722626448e+02,7.882612612007941283e-04,-6.041045897833792200e-01
2.370321044921875000e+02,1.612437032063802178e+02,1.612045700340082135e+02,7.465480016889627533e-04,-6.058462373634859732e-01
2.388359375000000000e+02,1.614640644214771328e+02,1.610545939744268935e+02,7.108538098881632666e-04,-6.073365716960522631e-01
